2017-04-14 18:52:24,174 - root - INFO - Epoch:1, Episode:2, Steps Left:90000/5000/100000, Reward:-156.000000, fps:565.467049, Exploration:0.943624, Collision:[-125.  -96. -111.], Reward Behavior:[ 22.  28.  32.   0.], Avg Loss:3.147046/100, Avg Q Value:0.341617/246 
2017-04-14 18:52:33,183 - root - INFO - Epoch:1, Episode:3, Steps Left:85000/5000/100000, Reward:-104.000000, fps:555.019220, Exploration:0.939124, Collision:[-118.  -94.  -83.], Reward Behavior:[ 24.  37.  29.   0.], Avg Loss:3.095838/100, Avg Q Value:0.372028/288 
2017-04-14 18:52:42,180 - root - INFO - Epoch:1, Episode:4, Steps Left:80000/5000/100000, Reward:-150.000000, fps:555.750995, Exploration:0.934624, Collision:[-112. -119.  -93.], Reward Behavior:[ 38.  20.  24.   0.], Avg Loss:3.216067/100, Avg Q Value:0.425099/314 
2017-04-14 18:52:47,623 - root - INFO - Epoch:1, Episode:5, Steps Left:76919/3081/100000, Reward:-57.000000, fps:566.134971, Exploration:0.931850, Collision:[-55. -50. -56.], Reward Behavior:[ 26.  12.  13.   0.], Avg Loss:3.115919/62, Avg Q Value:0.454415/202 
2017-04-14 18:52:56,586 - root - INFO - Epoch:1, Episode:6, Steps Left:71919/5000/100000, Reward:-81.000000, fps:557.868979, Exploration:0.927350, Collision:[-103. -106.  -89.], Reward Behavior:[ 34.  34.  34.   0.], Avg Loss:3.012272/100, Avg Q Value:0.405462/347 
2017-04-14 18:53:05,416 - root - INFO - Epoch:1, Episode:7, Steps Left:66919/5000/100000, Reward:-88.000000, fps:566.266542, Exploration:0.922850, Collision:[-92. -93. -85.], Reward Behavior:[ 37.  30.  18.   0.], Avg Loss:3.077464/100, Avg Q Value:0.436452/360 
2017-04-14 18:53:06,753 - root - INFO - Epoch:1, Episode:8, Steps Left:66167/752/100000, Reward:-31.000000, fps:562.728552, Exploration:0.922173, Collision:[-14. -13. -19.], Reward Behavior:[ 1.  2.  3.  0.], Avg Loss:3.413051/15, Avg Q Value:0.473570/52 
2017-04-14 18:53:16,014 - root - INFO - Epoch:1, Episode:9, Steps Left:61167/5000/100000, Reward:-122.000000, fps:539.939010, Exploration:0.917673, Collision:[ -93. -118.  -87.], Reward Behavior:[ 27.  28.  27.   0.], Avg Loss:2.978091/100, Avg Q Value:0.452662/403 
2017-04-14 18:53:24,984 - root - INFO - Epoch:1, Episode:10, Steps Left:56167/5000/100000, Reward:-137.000000, fps:557.452434, Exploration:0.913173, Collision:[-98. -95. -93.], Reward Behavior:[ 20.  25.  24.   0.], Avg Loss:3.330456/100, Avg Q Value:0.459140/430 
2017-04-14 18:53:33,857 - root - INFO - Epoch:1, Episode:11, Steps Left:51167/5000/100000, Reward:-109.000000, fps:563.533638, Exploration:0.908673, Collision:[-103.  -85.  -81.], Reward Behavior:[ 29.  17.  25.   0.], Avg Loss:3.086221/100, Avg Q Value:0.470859/450 
2017-04-14 18:53:43,250 - root - INFO - Epoch:1, Episode:12, Steps Left:46167/5000/100000, Reward:-112.000000, fps:532.335326, Exploration:0.904173, Collision:[-103.  -99.  -86.], Reward Behavior:[ 32.  17.  31.   0.], Avg Loss:3.199493/100, Avg Q Value:0.463568/501 
2017-04-14 18:53:52,610 - root - INFO - Epoch:1, Episode:13, Steps Left:41167/5000/100000, Reward:-131.000000, fps:534.192884, Exploration:0.899673, Collision:[-119.  -92. -103.], Reward Behavior:[ 28.  27.  27.   0.], Avg Loss:3.177921/100, Avg Q Value:0.479920/489 
2017-04-14 18:53:56,887 - root - INFO - Epoch:1, Episode:14, Steps Left:38777/2390/100000, Reward:-20.000000, fps:558.911610, Exploration:0.897521, Collision:[-45. -59. -37.], Reward Behavior:[ 16.  17.  23.   0.], Avg Loss:3.519914/48, Avg Q Value:0.513215/244 
2017-04-14 18:54:06,215 - root - INFO - Epoch:1, Episode:15, Steps Left:33777/5000/100000, Reward:-143.000000, fps:536.030868, Exploration:0.893021, Collision:[-104. -111. -111.], Reward Behavior:[ 33.  19.  36.   0.], Avg Loss:3.167933/100, Avg Q Value:0.487107/532 
2017-04-14 18:54:11,220 - root - INFO - Epoch:1, Episode:16, Steps Left:30999/2778/100000, Reward:-43.000000, fps:555.163076, Exploration:0.890520, Collision:[-63. -66. -39.], Reward Behavior:[ 17.  25.  19.   0.], Avg Loss:3.336642/55, Avg Q Value:0.470478/276 
