2017-04-14 15:42:23,599 - root - INFO - Epoch:1, Episode:2, Steps Left:90000/5000/100000, Score:-124.000000, fps:507.881141, Exploration:0.944501, Collision:[-110.  -89.  -93.], Reward Behavior:[ 30.  24.  25.   0.], Avg Loss:3.174106/100, Avg Q Value:0.298352/248 
2017-04-14 15:42:33,267 - root - INFO - Epoch:1, Episode:3, Steps Left:85000/5000/100000, Score:-131.000000, fps:517.193693, Exploration:0.940001, Collision:[-107. -109.  -94.], Reward Behavior:[ 30.  29.  26.   0.], Avg Loss:3.168568/100, Avg Q Value:0.323182/277 
2017-04-14 15:42:42,745 - root - INFO - Epoch:1, Episode:4, Steps Left:80000/5000/100000, Score:-138.000000, fps:527.525822, Exploration:0.935501, Collision:[ -93. -119. -107.], Reward Behavior:[ 27.  29.  29.   0.], Avg Loss:3.522971/100, Avg Q Value:0.338342/322 
2017-04-14 15:42:52,284 - root - INFO - Epoch:1, Episode:5, Steps Left:75000/5000/100000, Score:-143.000000, fps:524.214846, Exploration:0.931001, Collision:[-129. -103.  -93.], Reward Behavior:[ 29.  37.  22.   0.], Avg Loss:3.028315/100, Avg Q Value:0.359999/329 
2017-04-14 15:43:02,198 - root - INFO - Epoch:1, Episode:6, Steps Left:70000/5000/100000, Score:-191.000000, fps:504.356948, Exploration:0.926501, Collision:[-109. -124. -104.], Reward Behavior:[ 20.  26.  25.   0.], Avg Loss:3.460151/100, Avg Q Value:0.354160/376 
2017-04-14 15:43:11,841 - root - INFO - Epoch:1, Episode:7, Steps Left:65000/5000/100000, Score:-106.000000, fps:518.542997, Exploration:0.922001, Collision:[ -99. -100.  -95.], Reward Behavior:[ 28.  32.  28.   0.], Avg Loss:3.217525/100, Avg Q Value:0.435516/365 
2017-04-14 15:43:21,388 - root - INFO - Epoch:1, Episode:8, Steps Left:60000/5000/100000, Score:-119.000000, fps:523.787770, Exploration:0.917501, Collision:[-118.  -95.  -96.], Reward Behavior:[ 26.  29.  31.   0.], Avg Loss:3.275677/100, Avg Q Value:0.393680/401 
2017-04-14 15:43:31,154 - root - INFO - Epoch:1, Episode:9, Steps Left:55000/5000/100000, Score:-125.000000, fps:511.965190, Exploration:0.913001, Collision:[-121. -102.  -99.], Reward Behavior:[ 21.  36.  35.   0.], Avg Loss:3.298631/100, Avg Q Value:0.404662/428 
2017-04-14 15:43:33,331 - root - INFO - Epoch:1, Episode:10, Steps Left:53893/1107/100000, Score:-37.000000, fps:508.772061, Exploration:0.912003, Collision:[-27. -34. -17.], Reward Behavior:[  4.   4.  11.   0.], Avg Loss:3.770686/22, Avg Q Value:0.373801/79 
2017-04-14 15:43:43,745 - root - INFO - Epoch:1, Episode:11, Steps Left:48893/5000/100000, Score:-123.000000, fps:480.125680, Exploration:0.907503, Collision:[-108. -106.  -84.], Reward Behavior:[ 28.  29.  26.   0.], Avg Loss:3.228480/100, Avg Q Value:0.429884/443 
2017-04-14 15:43:53,768 - root - INFO - Epoch:1, Episode:12, Steps Left:43893/5000/100000, Score:-167.000000, fps:498.879624, Exploration:0.903003, Collision:[-121. -107.  -98.], Reward Behavior:[ 17.  35.  22.   0.], Avg Loss:3.408182/100, Avg Q Value:0.434105/457 
2017-04-14 15:44:02,247 - root - INFO - Epoch:1, Episode:13, Steps Left:39723/4170/100000, Score:-90.000000, fps:491.853809, Exploration:0.899250, Collision:[-84. -77. -67.], Reward Behavior:[ 19.  19.  25.   0.], Avg Loss:3.020011/83, Avg Q Value:0.482780/419 
2017-04-14 15:44:11,892 - root - INFO - Epoch:1, Episode:14, Steps Left:34723/5000/100000, Score:-120.000000, fps:518.435678, Exploration:0.894750, Collision:[-114.  -86.  -92.], Reward Behavior:[ 29.  32.  20.   0.], Avg Loss:3.202513/100, Avg Q Value:0.538685/501 
